目标客户编号,品牌类型,电池技术性能得分,舒适性得分,经济性得分,安全性表现得分,动力性表现得分,驾驶操控性表现得分,外观内饰得分,配置与质量品质得分,户口类型,居住时间,居住区域类型,驾龄,家庭成员数,婚姻类型,子女数,出生年,最高学历,工作年限,单位性质,职位类型,家庭年收入,个人年收入,家庭可支配收入,房贷占收入比,车贷占收入比,购买意愿
1,2,753.0353986,87.65379133,81.55817068,85.6115933,85.62967773,85.80757561,82.34645282,84.76955472,2,10,2,10,5,6,1,1983,6,14,2,3,19,11,10,30,5,0
2,3,88.92278981,82.94626215,85.16608081,85.1897245,77.76249789,83.5955792,82.15236745,88.87254642,2,20,1,3,3,5,1,1992,6,5,4,4,18,10,8,0,30,0
3,3,95.04829439,93.33313142,77.66037461,93.03427403,88.86999791,94.16996236,95.6026553,95.87737327,2,32,1,8,5,6,1,1988,4,9,5,2,24,10,17,0,0,0
4,3,71.15232785,76.78576735,66.69170125,81.92612469,66.65499787,77.77367433,77.58024696,76.98950202,2,34,1,5,3,5,1,1986,6,10,4,7,27,10,10,18,25,0
5,3,70.57396208,71.64594943,70.44455435,74.02983164,66.65499787,66.33609241,62.09302141,74.43696203,2,36,1,5,3,5,1,1983,6,13,4,2,25,15,15,0,0,0
6,3,68.72547041,70.95737878,70.44455435,71.23984413,69.89531806,72.48648275,71.23726238,70.75990103,1,15,1,6,3,5,1,1985,6,9,3,2,15,10,7,30,5,0
7,3,65.97142483,71.51175763,66.69170125,62.4998135,67.95578514,64.124096,68.94519074,63.32914348,1,15,1,5,3,5,1,1990,6,10,3,3,15,10,7,0,0,0
8,3,59.07716658,48.14953772,44.45446533,60.12875725,55.54749785,55.55548143,40.05872663,44.43127419,1,22,6,2,4,4,,1999,5,1,5,8,22,14,8,20,20,0
9,3,82.79728523,84.85659599,81.41322771,84.7161122,87.68967176,83.26709373,84.51751043,88.52325126,2,30,2,5,3,5,1,1986,6,11,1,2,51,34,19,15,20,0
10,3,79.65718321,80.19533259,77.80531758,81.45251238,73.22139044,75.02696464,73.33524865,74.43696203,1,16,1,10,6,6,2,1989,4,10,3,2,26,12,15,26,15,0
11,3,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,75.02696464,77.77433233,77.76472787,1,5,1,5,4,5,1,1993,5,3,7,9,10,9,7,35,5,0
12,3,75.42460409,75.77902087,62.93884815,73.60796285,69.89531806,71.95176946,77.77433233,62.55391762,2,5,2,5,3,8,,1970,4,30,4,6,20,8,10,0,25,0
13,3,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,29,1,8,5,6,1,1990,8,4,4,3,25,10,13,20,0,1
14,3,61.10987169,76.36719843,66.69170125,77.76704377,55.54749785,60.84267301,68.95721353,70.33397033,2,12,2,2,3,2,,1990,6,6,1,8,30,15,12,0,0,0
15,3,85.36894535,82.62510972,77.80531758,84.7161122,82.6138424,85.80757561,88.88352277,85.54478058,1,10,1,7,5,6,1,1988,6,9,3,7,38,14,13,0,0,0
16,3,77.80869155,83.23747961,70.44455435,77.76704377,77.92675219,75.02696464,75.66432328,81.86771957,2,40,1,12,3,5,1,1980,6,15,5,1,60,50,45,0,0,0
17,3,75.03854764,76.54043924,70.44455435,77.76704377,66.59476732,72.48648275,73.38427443,73.66173617,2,35,1,11,5,6,1,1985,4,10,3,3,60,50,45,0,0,0
18,3,67.26303519,74.79923276,74.05246448,70.81797534,82.7780967,74.69847916,71.29831094,73.66173617,2,40,2,11,3,5,1,1980,5,16,4,2,50,45,45,0,0,0
19,3,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,29,2,8,5,6,1,1990,8,4,4,3,42,26,13,30,20,0
20,3,63.38366639,51.76648477,40.70161223,59.65514494,53.93210689,50.58954409,57.65393773,47.41274017,1,2,3,4,3,5,1,1994,6,4,4,8,40,14,21,15,0,0
21,1,71.68318697,72.4073678,74.05246448,69.92249424,80.83856378,75.23319245,73.20221184,77.33879717,2,30,1,10,3,5,1,1990,6,8,4,3,25,13,9,40,8,0
22,1,88.92278981,90.17984809,88.91893392,88.87519312,88.86999791,88.88277078,90.98150904,88.87254642,2,12,2,4,5,6,1,1987,6,11,3,4,25,7,7,25,25,0
23,1,67.26303519,67.09544592,66.69170125,70.34436303,69.73106376,69.73977306,73.51731123,66.65690932,2,5,2,8,3,3,1,1990,6,8,2,2,20,10,15,10,10,0
24,1,93.52532705,90.94126646,73.9041436,88.87519312,90.64527653,94.16996236,95.6026553,96.65259912,2,29,1,5,5,6,1,1991,6,6,6,5,23,11,7,15,30,0
25,1,89.64595826,93.94550132,73.9041436,96.29787385,88.86999791,96.91667206,95.6026553,95.87737327,2,29,1,5,5,6,1,1991,6,6,6,8,11,15,12,15,0,0
26,1,75.53489684,81.09094276,62.93884815,77.76704377,66.65499787,74.69847916,77.77433233,77.76472787,1,15,1,20,4,5,2,1979,5,21,1,3,35,15,10,0,0,0
27,1,81.3020039,90.58517847,81.55817068,78.66252487,71.67059668,69.73977306,73.2621773,85.19548542,1,8,2,2,4,4,,1997,6,1,7,9,34,14,8,18,25,0
28,1,89.78909713,89.5674782,85.31102379,92.13879294,93.88559672,88.55428531,88.88352277,84.76955472,2,15,1,8,3,5,1,1988,6,9,3,4,30,20,13,10,20,0
29,1,86.3511297,86.89237296,88.91893392,88.87519312,88.86999791,88.88277078,86.60347392,84.76955472,2,35,2,10,4,5,2,1985,6,13,4,2,48,19,32,18,0,0
30,1,90.77128148,88.91681971,88.91893392,88.87519312,91.9460638,88.88277078,88.88352277,88.87254642,2,14,2,5,5,6,1,1986,6,11,3,4,45,16,14,25,20,0
31,1,78.05160912,68.3584743,74.05246448,70.34436303,71.50634238,72.48648275,71.0551998,74.43696203,2,35,3,10,3,5,1,1985,5,12,1,2,11,7,7,12,5,0
32,1,95.04829439,90.94126646,73.9041436,93.03427403,88.86999791,94.16996236,91.16357162,95.87737327,2,31,1,6,5,6,1,1989,6,7,5,2,10,8,14,15,0,0
33,1,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,36,1,10,3,5,1,1983,5,14,4,6,33,12,12,0,35,0
34,1,68.54308495,69.11989267,66.69170125,66.65889442,66.65499787,69.41128758,66.66514189,66.65690932,2,5,1,3,2,3,,1990,5,5,2,2,15,10,10,40,0,0
35,1,83.93419612,81.45836097,85.16608081,84.7161122,85.79393203,83.06086591,84.44443909,81.09249372,1,13,2,8,3,5,1,1992,5,3,5,5,22,13,8,0,0,0
36,1,99.0368881,99.0301718,99.0325502,99.98334246,99.97749794,99.99186723,99.9927132,99.98036497,2,15,1,5,3,5,1,1990,6,6,1,3,30,20,13,20,15,0
