经济性得分,车贷占收入比,房贷占收入比,电池技术性能得分,个人年收入,家庭成员数,最高学历,品牌类型,动力性表现得分,舒适性得分,家庭可支配收入,家庭年收入,安全性表现得分,出生年,单位性质,工作年限,驾龄,配置与质量品质得分,居住时间,驾驶操控性表现得分,外观内饰得分,婚姻类型,居住区域类型,职位类型,户口类型,子女数,购买意愿
85.16608081,30,0,88.92278981,10,3,6,3,77.76249789,82.94626215,8,18,85.1897245,1992,4,5,3,88.87254642,20,83.5955792,82.15236745,5,1,4,2,1,0.0 
77.66037461,0,0,95.04829439,10,5,4,3,88.86999791,93.33313142,17,24,93.03427403,1988,5,9,8,95.87737327,32,94.16996236,95.6026553,6,1,2,2,1,0.0 
66.69170125,25,18,71.15232785,10,3,6,3,66.65499787,76.78576735,10,27,81.92612469,1986,4,10,5,76.98950202,34,77.77367433,77.58024696,5,1,7,2,1,0.0 
70.44455435,0,0,70.57396208,15,3,6,3,66.65499787,71.64594943,15,25,74.02983164,1983,4,13,5,74.43696203,36,66.33609241,62.09302141,5,1,2,2,1,0.0 
70.44455435,5,30,68.72547041,10,3,6,3,69.89531806,70.95737878,7,15,71.23984413,1985,3,9,6,70.75990103,15,72.48648275,71.23726238,5,1,2,1,1,0.0 
66.69170125,0,0,65.97142483,10,3,6,3,67.95578514,71.51175763,7,15,62.4998135,1990,3,10,5,63.32914348,15,64.124096,68.94519074,5,1,3,1,1,0.0 
44.45446533,20,20,59.07716658,14,4,5,3,55.54749785,48.14953772,8,22,60.12875725,1999,5,1,2,44.43127419,22,55.55548143,40.05872663,4,6,8,1,0,0.0 
81.41322771,20,15,82.79728523,34,3,6,3,87.68967176,84.85659599,19,51,84.7161122,1986,1,11,5,88.52325126,30,83.26709373,84.51751043,5,2,2,2,1,0.0 
77.80531758,15,26,79.65718321,12,6,4,3,73.22139044,80.19533259,15,26,81.45251238,1989,3,10,10,74.43696203,16,75.02696464,73.33524865,6,1,2,1,2,0.0 
77.80531758,5,35,77.80869155,9,4,5,3,77.76249789,77.80346762,7,10,77.76704377,1993,7,3,5,77.76472787,5,75.02696464,77.77433233,5,1,9,1,1,0.0 
62.93884815,25,0,75.42460409,8,3,4,3,69.89531806,75.77902087,10,20,73.60796285,1970,4,30,5,62.55391762,5,71.95176946,77.77433233,8,2,6,2,1,0.0 
99.0325502,0,20,99.0368881,10,5,8,3,99.97749794,99.0301718,13,25,99.98334246,1990,4,4,8,99.98036497,29,99.99186723,99.9927132,6,1,3,2,1,1.0 
66.69170125,0,0,61.10987169,15,3,6,3,55.54749785,76.36719843,12,30,77.76704377,1990,1,6,2,70.33397033,12,60.84267301,68.95721353,2,2,8,2,0,0.0 
77.80531758,0,0,85.36894535,14,5,6,3,82.6138424,82.62510972,13,38,84.7161122,1988,3,9,7,85.54478058,10,85.80757561,88.88352277,6,1,7,1,1,0.0 
70.44455435,0,0,77.80869155,50,3,6,3,77.92675219,83.23747961,45,60,77.76704377,1980,5,15,12,81.86771957,40,75.02696464,75.66432328,5,1,1,2,1,0.0 
70.44455435,0,0,75.03854764,50,5,4,3,66.59476732,76.54043924,45,60,77.76704377,1985,3,10,11,73.66173617,35,72.48648275,73.38427443,6,1,3,2,1,0.0 
74.05246448,0,0,67.26303519,45,3,5,3,82.7780967,74.79923276,45,50,70.81797534,1980,4,16,11,73.66173617,40,74.69847916,71.29831094,5,2,2,2,1,0.0 
99.0325502,20,30,99.0368881,26,5,8,3,99.97749794,99.0301718,13,42,99.98334246,1990,4,4,8,99.98036497,29,99.99186723,99.9927132,6,2,3,2,1,0.0 
40.70161223,0,15,63.38366639,14,3,6,3,53.93210689,51.76648477,21,40,59.65514494,1994,4,4,4,47.41274017,2,50.58954409,57.65393773,5,3,8,1,1,0.0 
74.05246448,8,40,71.68318697,13,3,6,1,80.83856378,72.4073678,9,25,69.92249424,1990,4,8,10,77.33879717,30,75.23319245,73.20221184,5,1,3,2,1,0.0 
